,date,avg_sent_score
0,2019_1_01,0.580794528902897
1,2019_1_02,0.5380740689059027
2,2019_1_03,0.5391748865257728
3,2019_1_04,0.534086440528122
4,2019_1_05,0.5333471254888135
5,2019_1_06,0.5294789953575039
6,2019_1_07,0.5375312341403616
7,2019_1_08,0.5313921211335924
8,2019_1_09,0.5384167508825686
9,2019_1_10,0.5334213459393236
10,2019_1_11,0.5402537792558512
11,2019_1_12,0.5405667758874186
12,2019_1_13,0.5349156324837196
13,2019_1_14,0.5342003512958964
14,2019_1_15,0.5409883669397557
15,2019_1_16,0.5423134300678615
16,2019_1_17,0.5382361849825616
17,2019_1_18,0.5413726589003112
18,2019_1_19,0.5395307922463713
19,2019_1_20,0.5318228244742395
20,2019_1_21,0.5300273801553294
21,2019_1_22,0.5280192037713733
22,2019_1_23,0.5298003288063878
23,2019_1_24,0.5373043267786795
24,2019_1_25,0.5456424040364211
25,2019_1_26,0.5526001384265982
26,2019_1_27,0.5408306634193674
27,2019_1_28,0.5419129031973772
28,2019_1_29,0.5352325389907443
29,2019_1_30,0.5403789236179385
30,2019_1_31,0.5362541847758004
